address,zip,lat_long,neighborhood,status
93-24 qns boulevard #3c in rego park,11374,40.7311447:-73.866266,West Central Queens,No Claim
118 west 83rd street #1b in upper west side,10024,40.7846581:-73.97448589999999,Upper West Side,No Claim
1370 saint nicholas's avenue #16n in washington heights,10033,40.84756300000001:-73.9344666,Inwood and Washington Heights,No Claim
141-30 pershing crescent #6 in briarwood,11435,40.7117164:-73.8166888,Jamaica,Claim
144-45 35th avenue #1l in murray hilll,11354,40.766455:-73.8219658,North Queens,Claim
118 west 83rd street #1b in upper west side,10024,40.7846581:-73.97448589999999,Upper West Side,Claim
9014 third avenue #1 in fort hamilton,11209,None,Southwest Brooklyn,No Claim
47 saint felix street #4r in fort greene,11217,40.6882731:-73.9774662,Northwest Brooklyn,Claim
65 bergen street #5 in cobble hill,11201,40.6870216:-73.9907423,Northwest Brooklyn,Claim
454 west 45th street #3rw in hell's kitchen,10036,40.7612307:-73.9937234,Chelsea and Clinton,Claim
141-66 85 road #2e in briarwood,11435,40.7094356:-73.8143365,Jamaica,Claim
545 edgecombe avenue #2h in washington heights,10032,40.8335726:-73.93917379999999,Inwood and Washington Heights,Claim
832 quincy street #1f,11221,40.6896271:-73.9262229,Bushwick and Williamsburg,Claim
95-05 35th avenue #a1 in jackson heights,11372,40.753412:-73.872484,West Queens,Claim
319 east 5th street #11 in east village,10003,40.7265626:-73.9879844,Lower East Side,Claim
542 east 11th street #4bb in east village,10009,40.7275431:-73.98010030000002,Lower East Side,Claim
610 monroe street #2a in stuyvesant heights,11221,40.6874147:-73.932653,Bushwick and Williamsburg,Claim
21 magaw place #5e in hudson heights,10033,40.851574:-73.93733689999999,Inwood and Washington Heights,Claim
1594 third avenue #5c in carnegie hill,10128,40.78112650000001:-73.952629,Upper East Side,Claim
3971 gouverneur avenue #4k in kingsbridge heights,10463,40.8835189:-73.89219489999999,Kingsbridge and Riverdale,Claim
216 west 78th street #3d in upper west side,10024,40.7826242:-73.9797201,Upper West Side,Claim
328 west 83rd street #6g in upper west side,10024,40.7873674:-73.9806613,Upper West Side,Claim
324 east 84th street #1a in yorkville,10028,40.7759623:-73.9518483,Upper East Side,Claim
348 east 62nd street #6front in lenox hill,10065,40.7616258:-73.9614057,Upper East Side,Claim
21 essex street #5 in chinatown,10002,40.7153806:-73.9900742,Lower East Side,No Claim
2841 heath avenue #r1 in kingsbridge heights ,10463,40.8739096:-73.9041318,Kingsbridge and Riverdale,Claim
96-03 metropolitan near selfridge st in forest hills,11375,40.7153558:-73.856944,West Central Queens,Claim
276 seventh avenue #d2 in park slope,11215,40.6710672:-73.98142279999999,Northwest Brooklyn,Claim
56-11 94th street #3j in elmhurst,11373,40.736503:-73.86740499999999,West Queens,Claim
142-29 37th avenue #4a in flushing,11354,40.762928:-73.8265373,North Queens,Claim
48-12 46th street #33 in sunnyside  ,11377,40.7388967:-73.9197858,West Queens,Claim
321 eldert street #4l in bushwick,11237,40.6933444:-73.9069098,Bushwick and Williamsburg,Claim
354 west 38th street #4e in hudson yards,10018,40.7556537:-73.9941533,Chelsea and Clinton,Claim
1511 brightwater avenue #2f in brighton beach,11235,40.5758056:-73.9550867,Southern Brooklyn,Claim
489 columbus avenue #5cc in upper west side,10024,40.7847644:-73.9730625,Upper West Side,Claim
321 east 92nd street #4e in yorkville,10128,40.7813611:-73.947704,Upper East Side,Claim
545 edgecombe avenue #3g in washington heights,10032,40.8335726:-73.93917379999999,Inwood and Washington Heights,Claim
500 kappock st #5j,10463,40.8770979:-73.9184841,Kingsbridge and Riverdale,No Claim
100 cooper st #e6,10034,None,Inwood and Washington Heights,No Claim
1625 park place #9a,11233,None,Central Brooklyn,No Claim
